Table 1.
        Input data of the instance studied.
Subset,Part of the subset,Activity (j),Workstation at the fixture,Duration at the fixture (pj),Duration at the workbench (qj),Precedent activities (A(j<comma>k))
1,1,1,1,5,7,–
1,1,2,1,4,47,1
2,1,3,1,5,7,–
2,1,4,1,4,47,3
1,2,5,2,15,29,–
1,2,6,2,9,71,5
2,2,7,2,15,29,–
2,2,8,2,9,71,7
1,3,9,3,11,40,–
2,3,10,3,11,40,–
1,4,11,4,12,40,–
1,4,12,4,6,40,11
2,4,13,4,12,40,–
2,4,14,4,6,40,13
1,5,15,5,8,30,–
1,5,16,5,6,40,15
2,5,17,5,8,30,–
2,5,18,5,6,40,17
1,6,19,6,12,17,–
1,6,20,6,6,40,19
2,6,21,6,12,17,–
2,6,22,6,6,40,21
1,7,23,7,7,12,–
1,7,24,7,7,30,23
2,7,25,7,7,12,–
2,7,26,7,7,30,25
1,8,27,8,10,61,–
1,8,28,8,12,66,27
2,8,29,8,10,61,–
2,8,30,8,12,66,29
